Распоряжение администрации города от 27.08.2013 № 83 р Об ограничении стоянки автотранспорта,Rasporyazhenie-administratsii-goroda-ot-27082013-83-r-Ob-ogranichenii-stoyanki-avtotransporta,83,3,4,2,2013-08-27,,2013-08-27 00:00,True,uploads/olddocs/glava/2013/08/27/83_.doc
Распоряжение администрации города от 26.08.2013 № 81р О проведении митинга,Rasporyazhenie-administratsii-goroda-ot-26082013-81r-O-provedenii-mitinga,81,3,4,2,2013-08-26,,2013-08-26 00:00,True,uploads/olddocs/glava/2013/08/26/81_.doc
"Распоряжение администрации города от 16.08.2013 № 77р О проведении смотра-конкурса «На лучшее содержание и обслуживание частного, государственного и муниципального жилищных фондов»",Rasporyazhenie-administratsii-goroda-ot-16082013-77r-O-provedenii-smotra-konkursa-Na-luchshee-soderzhanie-i-obsluzhivanie-chastnogo-gosudarstvennogo-i-munitsipalnogo-zhilischnyh-fondov,77,3,4,2,2013-08-16,,2013-08-16 00:00,True,uploads/olddocs/glava/2013/08/16/77_.doc
Распоряжение администрации города от 24.07.2013 № 67р О проведении крестного хода,Rasporyazhenie-administratsii-goroda-ot-24072013-67r-O-provedenii-krestnogo-hoda,67,3,4,2,2013-07-24,,2013-07-24 00:00,True,uploads/olddocs/glava/2013/07/24/67_.doc
Распоряжение администрации города от 22.02.2013 № 20р О проведении митинга,Rasporyazhenie-administratsii-goroda-ot-22022013-20r-O-provedenii-mitinga,20,3,4,2,2013-02-22,,2013-02-22 00:00,True,uploads/olddocs/glava/2013/02/22/20_.doc
"Распоряжение администрации города от 28.01.2013 № 11р Об определении структурного подразделения администрации города, уполномоченного на проведение мероприятий по муниципальному земельному контролю",Rasporyazhenie-administratsii-goroda-ot-28012013-11r-Ob-opredelenii-strukturnogo-podrazdeleniya-administratsii-goroda-upolnomochennogo-na-provedenie-meropriyatiy-po-munitsipalnomu-zemelnomu-kontrolyu,11,3,4,2,2013-01-28,,2013-01-28 00:00,True,uploads/olddocs/glava/2013/01/28/11_.docx
Распоряжение администрации города от 16.01.2013 № 02р Об ответственном за организацию качественного предоставления муниципальных услуг в городском округе Фрязино Московской области,Rasporyazhenie-administratsii-goroda-ot-16012013-02r-Ob-otvetstvennom-za-organizatsiyu-kachestvennogo-predostavleniya-munitsipalnyh-uslug-v-gorodskom-okruge-Fryazino-Moskovskoy-oblasti,02,3,4,2,2013-01-16,,2013-01-16 00:00,True,uploads/olddocs/glava/2013/01/16/02__.doc
